eval_index,nsd_image_id,image_rank_topo0,image_rank_topo_low,image_rank_delta_low_minus_zero,brain_rank_topo0,brain_rank_topo_low,brain_rank_delta_low_minus_zero,image_score_delta_low_minus_zero,brain_score_delta_low_minus_zero,teacher_top1_rank_topo0,teacher_top1_rank_topo_low,teacher_top1_rank_delta_low_minus_zero,teacher_neighbor_overlap5_topo0,teacher_neighbor_overlap5_topo_low,teacher_neighbor_overlap5_delta_low_minus_zero,pixcorr_topo0,pixcorr_topo_low,pixcorr_delta_low_minus_zero
0,2950,2.0,20.0,18.0,2.0,5.0,3.0,-0.0014680885,-0.0014680885,2.0,2.0,0.0,0.2,0.4,0.2,0.15312518,0.17008674,0.01696156
1,2990,2.0,6.0,4.0,1.0,1.0,0.0,0.0039513223,0.0039513223,120.0,242.0,122.0,0.0,0.0,0.0,0.2015752,0.11111161,-0.09046359
2,3049,4.0,1.0,-3.0,4.0,2.0,-2.0,0.021779757,0.021779757,1.0,1.0,0.0,0.2,0.2,0.0,0.09571923,0.08006999,-0.015649244
3,3077,19.0,21.0,2.0,24.0,4.0,-20.0,0.0128271505,0.0128271505,929.0,903.0,-26.0,0.0,0.0,0.0,0.1309542,0.24698626,0.11603205
4,3146,9.0,2.0,-7.0,33.0,16.0,-17.0,0.014723271,0.014723271,231.0,154.0,-77.0,0.0,0.0,0.0,0.34838814,0.351932,0.0035438538
5,3157,2.0,2.0,0.0,9.0,13.0,4.0,0.005105857,0.005105857,34.0,37.0,3.0,0.4,0.4,0.0,0.013527896,0.126904,0.113376096
6,3164,92.0,118.0,26.0,26.0,40.0,14.0,0.0059531145,0.0059531145,61.0,99.0,38.0,0.0,0.0,0.0,0.15567607,0.20760791,0.051931843
7,3171,153.0,118.0,-35.0,16.0,11.0,-5.0,0.013472429,0.013472429,57.0,52.0,-5.0,0.2,0.2,0.0,0.599843,0.6742675,0.074424446
8,3181,1.0,1.0,0.0,1.0,1.0,0.0,0.00112978,0.00112978,21.0,14.0,-7.0,0.0,0.2,0.2,-0.06371621,-0.027224673,0.036491536
9,3386,43.0,23.0,-20.0,43.0,53.0,10.0,0.010568518,0.010568518,18.0,35.0,17.0,0.0,0.0,0.0,-0.0034902804,-0.055397887,-0.051907606
10,3434,3.0,2.0,-1.0,1.0,2.0,1.0,0.008617915,0.008617915,1.0,1.0,0.0,0.4,0.6,0.20000002,0.58445364,0.40727776,-0.17717588
11,3449,1.0,1.0,0.0,1.0,1.0,0.0,0.003098078,0.003098078,38.0,71.0,33.0,0.0,0.0,0.0,0.2044595,0.20888188,0.0044223815
12,3489,7.0,9.0,2.0,14.0,9.0,-5.0,0.008558538,0.008558538,5.0,7.0,2.0,0.2,0.2,0.0,0.4293116,0.2909538,-0.13835782
13,3626,4.0,5.0,1.0,1.0,1.0,0.0,0.0019886196,0.0019886196,13.0,6.0,-7.0,0.0,0.0,0.0,0.18998164,0.16734679,-0.022634849
14,3682,2.0,6.0,4.0,1.0,1.0,0.0,0.006092068,0.006092068,5.0,3.0,-2.0,0.4,0.4,0.0,0.87806684,0.87834764,0.00028079748
15,3687,1.0,1.0,0.0,1.0,1.0,0.0,0.007890012,0.007890012,54.0,55.0,1.0,0.0,0.0,0.0,0.5136701,0.46488973,-0.048780352
16,3729,2.0,4.0,2.0,1.0,1.0,0.0,0.00133387,0.00133387,1.0,1.0,0.0,0.2,0.2,0.0,-0.0050126975,-0.068403095,-0.0633904
17,3809,17.0,8.0,-9.0,27.0,36.0,9.0,0.013383951,0.013383951,41.0,54.0,13.0,0.0,0.0,0.0,0.39069656,0.34332308,-0.047373474
18,3842,11.0,62.0,51.0,15.0,18.0,3.0,-0.00029002875,-0.00029002875,101.0,100.0,-1.0,0.0,0.0,0.0,0.010010242,0.054364104,0.04435386
19,3847,2.0,1.0,-1.0,4.0,4.0,0.0,0.003295485,0.003295485,2.0,4.0,2.0,0.2,0.2,0.0,0.35482648,0.351536,-0.0032904744
20,3856,6.0,2.0,-4.0,5.0,3.0,-2.0,0.0071220286,0.0071220286,51.0,80.0,29.0,0.0,0.0,0.0,0.13067338,0.17049994,0.039826557
21,3913,1.0,1.0,0.0,1.0,2.0,1.0,0.003210079,0.003210079,3.0,4.0,1.0,0.4,0.4,0.0,0.11359345,-0.19315654,-0.30675
22,3951,2.0,1.0,-1.0,1.0,1.0,0.0,0.009900149,0.009900149,1.0,1.0,0.0,0.6,0.6,0.0,0.56529963,0.61727977,0.051980138
23,4051,58.0,24.0,-34.0,19.0,5.0,-14.0,0.013418756,0.013418756,106.0,84.0,-22.0,0.0,0.0,0.0,0.15084365,0.0524914,-0.09835225
24,4058,2.0,1.0,-1.0,1.0,1.0,0.0,0.008765638,0.008765638,5.0,7.0,2.0,0.2,0.2,0.0,0.40413022,0.44598815,0.041857928
25,4129,4.0,3.0,-1.0,1.0,1.0,0.0,0.007808868,0.007808868,545.0,603.0,58.0,0.0,0.0,0.0,0.012373052,0.08541018,0.073037125
26,4156,2.0,3.0,1.0,1.0,1.0,0.0,0.01046839,0.01046839,147.0,109.0,-38.0,0.0,0.0,0.0,-0.023965385,0.14202425,0.16598964
27,4249,1.0,1.0,0.0,1.0,1.0,0.0,0.0020192116,0.0020192116,4.0,3.0,-1.0,0.4,0.4,0.0,-0.098038964,0.41303998,0.51107895
