eval_index,nsd_image_id,predclip_image_rank_neighbor0,predclip_image_rank_neighbor_low,predclip_image_rank_delta_low_minus_zero,predclip_brain_rank_neighbor0,predclip_brain_rank_neighbor_low,predclip_brain_rank_delta_low_minus_zero,predclip_image_score_delta_low_minus_zero,predclip_brain_score_delta_low_minus_zero,blurry_pixcorr_neighbor0,blurry_pixcorr_neighbor_low,blurry_pixcorr_delta_low_minus_zero,recons_pixcorr_neighbor0,recons_pixcorr_neighbor_low,recons_pixcorr_delta_low_minus_zero,enhanced_pixcorr_neighbor0,enhanced_pixcorr_neighbor_low,enhanced_pixcorr_delta_low_minus_zero,enhanced_evalmix_pixcorr_neighbor0,enhanced_evalmix_pixcorr_neighbor_low,enhanced_evalmix_pixcorr_delta_low_minus_zero
0,2950,2.0,3.0,1.0,2.0,2.0,0.0,-0.004392244,-0.004392244,0.1446065,0.105012976,-0.039593525,0.13187002,0.21849929,0.08662927,0.1354889,0.22640485,0.09091595,0.15107496,0.23348448,0.082409516
1,2990,2.0,7.0,5.0,1.0,1.0,0.0,-0.006188214,-0.006188214,0.14181268,0.15449359,0.012680903,0.17446136,0.07140417,-0.1030572,0.18332969,0.05368563,-0.12964405,0.19912918,0.07080422,-0.12832496
2,3049,4.0,1.0,-3.0,4.0,3.0,-1.0,0.0055615045,0.0055615045,0.07996536,0.12880656,0.0488412,0.042550024,0.13587159,0.09332156,0.0862142,0.1818653,0.095651105,0.095146246,0.19400287,0.09885662
3,3077,19.0,21.0,2.0,24.0,10.0,-14.0,0.00023381598,0.00023381598,0.1883783,0.16050713,-0.027871177,0.121887185,0.09234808,-0.029539108,0.11584043,0.08865986,-0.027180567,0.12871532,0.10380931,-0.02490601
4,3146,9.0,8.0,-1.0,33.0,30.0,-3.0,0.0003183484,0.0003183484,0.56602496,0.5523503,-0.013674676,0.24206913,0.29610136,0.054032236,0.28050607,0.3186635,0.038157433,0.3462237,0.36318076,0.016957045
5,3157,2.0,2.0,0.0,9.0,11.0,2.0,-0.002895303,-0.002895303,0.40396857,0.345512,-0.05845657,-0.07117506,-0.052267596,0.018907465,-0.051119942,-0.022522422,0.02859752,0.013459563,0.03299748,0.019537918
6,3164,92.0,98.0,6.0,26.0,56.0,30.0,-0.0041959602,-0.0041959602,0.35140768,0.39359075,0.04218307,0.13005346,0.20619911,0.07614565,0.12353454,0.21748416,0.09394962,0.15391567,0.25084457,0.096928895
7,3171,153.0,167.0,14.0,16.0,13.0,-3.0,0.0020218827,0.0020218827,0.5953363,0.53290445,-0.062431872,0.56907713,0.6249717,0.055894554,0.5554473,0.6306001,0.075152814,0.5933588,0.6525772,0.059218407
8,3181,1.0,1.0,0.0,1.0,1.0,0.0,-0.003964577,-0.003964577,0.010354819,0.10950766,0.09915284,-0.06748543,-0.10666124,-0.03917581,-0.07288644,-0.116501115,-0.043614678,-0.06346086,-0.08589308,-0.022432223
9,3386,43.0,48.0,5.0,43.0,56.0,13.0,-0.0019723047,-0.0019723047,0.21305084,0.0452486,-0.16780224,-0.038705684,-0.059892572,-0.021186888,-0.020501237,-0.025357578,-0.0048563406,-0.0036177053,-0.020340858,-0.016723152
