subject,eval_index,nsd_image_id,prior0_image_rank,prior_low_image_rank,image_rank_delta_prior_low_minus_prior0,prior0_brain_rank,prior_low_brain_rank,brain_rank_delta_prior_low_minus_prior0,image_score_delta_prior_low_minus_prior0,brain_score_delta_prior_low_minus_prior0,flat_norm_delta_prior_low_minus_prior0,mean_token_norm_delta_prior_low_minus_prior0,brain_margin_hardest_delta_prior_low_minus_prior0,image_margin_hardest_delta_prior_low_minus_prior0,brain_margin_top5_delta_prior_low_minus_prior0,image_margin_top5_delta_prior_low_minus_prior0,blurry_pixcorr_prior0,blurry_pixcorr_prior_low,blurry_pixcorr_delta_prior_low_minus_prior0,recons_pixcorr_prior0,recons_pixcorr_prior_low,recons_pixcorr_delta_prior_low_minus_prior0,enhanced_pixcorr_prior0,enhanced_pixcorr_prior_low,enhanced_pixcorr_delta_prior_low_minus_prior0,enhanced_evalmix_pixcorr_prior0,enhanced_evalmix_pixcorr_prior_low,enhanced_evalmix_pixcorr_delta_prior_low_minus_prior0
7,0,2950,22.0,281.0,259.0,27.0,65.0,38.0,0.020240102,0.020240102,11.965485,1.3666801,0.0049782023,-0.023775063,0.0041730255,-0.021942142,-0.120829135,-0.010825433,0.1100037,0.14809865,0.18767613,0.039577484,0.14239351,0.17849359,0.036100075,0.12977234,0.17651848,0.04674615
7,1,2990,125.0,182.0,57.0,98.0,70.0,-28.0,0.034201864,0.034201864,5.161194,1.0571327,0.010125902,-0.016153846,0.008856457,-0.011171591,0.15018399,0.2794002,0.12921621,-0.0064025824,-0.028768463,-0.022365881,-0.0071899556,-0.029700343,-0.022510387,0.003895617,-0.00019622703,-0.004091844
7,2,3049,4.0,53.0,49.0,20.0,22.0,2.0,0.025252245,0.025252245,-48.226654,-1.6459064,0.008877628,-0.015011981,0.0041782334,-0.013739057,-0.27775908,-0.4305191,-0.15276003,-0.051374365,-0.065892205,-0.01451784,-0.01552418,-0.052581005,-0.037056826,-0.056396045,-0.10298035,-0.04658431
7,3,3077,1.0,38.0,37.0,1.0,1.0,0.0,0.016544767,0.016544767,-54.671173,-1.349081,-0.005992513,-0.027866628,-0.006309688,-0.023047123,-0.12434707,-0.28594455,-0.16159749,-0.0029031557,-0.087856814,-0.08495366,0.0010957093,-0.09639212,-0.09748783,-0.016522862,-0.1310903,-0.11456744
7,4,3146,1.0,26.0,25.0,6.0,2.0,-4.0,0.026304167,0.026304167,-18.973358,-0.15242958,0.0059833825,-0.024742909,0.0034901164,-0.016959105,0.5997562,0.57617193,-0.023584247,0.48718655,0.48703483,-0.00015172362,0.50407934,0.5219443,0.017864943,0.5330116,0.5472862,0.014274597
7,5,3157,4.0,137.0,133.0,1.0,2.0,1.0,0.0060639344,0.0060639344,-29.327942,-1.186943,-0.0039344765,-0.027372677,-0.0073478334,-0.02669968,0.63011765,0.5678541,-0.06226355,0.35137373,0.20430207,-0.14707166,0.39418226,0.24016035,-0.15402192,0.4620917,0.30804095,-0.15405077
7,6,3164,2.0,67.0,65.0,1.0,8.0,7.0,0.013343424,0.013343424,-14.672058,0.18053436,-0.00800702,-0.020564191,-0.010995805,-0.022540852,0.47729185,0.4013087,-0.07598317,0.17157482,0.20603482,0.03446001,0.17513922,0.21477856,0.03963934,0.22203146,0.2471706,0.025139138
7,7,3171,6.0,514.0,508.0,4.0,14.0,10.0,-0.0006326847,-0.0006326847,16.587128,1.4626999,-0.0024612993,-0.037058596,-0.004194729,-0.038163852,0.50424355,0.30291483,-0.20132872,0.17581935,-0.014736194,-0.19055554,0.21903571,-0.010358816,-0.22939453,0.27461362,0.016357478,-0.25825614
7,8,3181,2.0,7.0,5.0,4.0,1.0,-3.0,0.032553308,0.032553308,-32.144714,-0.9541149,0.0025844425,-0.009988274,0.00092131644,-0.009648636,0.11154934,0.06265148,-0.048897862,0.12573127,0.018889325,-0.10684195,0.12882292,0.02812031,-0.10070261,0.13375536,0.0355568,-0.098198555
7,9,3386,2.0,52.0,50.0,1.0,12.0,11.0,0.017084207,0.017084207,-23.807678,-0.03378296,-0.007841326,-0.018923495,-0.00823734,-0.01681985,-0.044129673,-0.10121709,-0.057087418,0.039672658,-0.012263037,-0.051935695,0.0753527,0.005866877,-0.06948582,0.055843093,-0.010791467,-0.06663456
