subject,eval_index,nsd_image_id,prior0_image_rank,prior_low_image_rank,image_rank_delta_prior_low_minus_prior0,prior0_brain_rank,prior_low_brain_rank,brain_rank_delta_prior_low_minus_prior0,image_score_delta_prior_low_minus_prior0,brain_score_delta_prior_low_minus_prior0,flat_norm_delta_prior_low_minus_prior0,mean_token_norm_delta_prior_low_minus_prior0,brain_margin_hardest_delta_prior_low_minus_prior0,image_margin_hardest_delta_prior_low_minus_prior0,brain_margin_top5_delta_prior_low_minus_prior0,image_margin_top5_delta_prior_low_minus_prior0,blurry_pixcorr_prior0,blurry_pixcorr_prior_low,blurry_pixcorr_delta_prior_low_minus_prior0,recons_pixcorr_prior0,recons_pixcorr_prior_low,recons_pixcorr_delta_prior_low_minus_prior0,enhanced_pixcorr_prior0,enhanced_pixcorr_prior_low,enhanced_pixcorr_delta_prior_low_minus_prior0,enhanced_evalmix_pixcorr_prior0,enhanced_evalmix_pixcorr_prior_low,enhanced_evalmix_pixcorr_delta_prior_low_minus_prior0,prior0_final_fullpool_rank,prior_low_final_fullpool_rank,final_fullpool_rank_delta_prior_low_minus_prior0,prior0_final_fullpool_positive_similarity,prior_low_final_fullpool_positive_similarity,final_fullpool_positive_similarity_delta_prior_low_minus_prior0,prior0_final_fullpool_mean_impostor_similarity,prior_low_final_fullpool_mean_impostor_similarity,final_fullpool_mean_impostor_similarity_delta_prior_low_minus_prior0,prior0_final_fullpool_hardest_impostor_similarity,prior_low_final_fullpool_hardest_impostor_similarity,final_fullpool_hardest_impostor_similarity_delta_prior_low_minus_prior0,prior0_final_fullpool_positive_minus_mean_impostor,prior_low_final_fullpool_positive_minus_mean_impostor,final_fullpool_positive_minus_mean_impostor_delta_prior_low_minus_prior0,prior0_final_fullpool_positive_minus_hardest_impostor,prior_low_final_fullpool_positive_minus_hardest_impostor,final_fullpool_positive_minus_hardest_impostor_delta_prior_low_minus_prior0,prior0_final_fullpool_positive_minus_top5_impostor,prior_low_final_fullpool_positive_minus_top5_impostor,final_fullpool_positive_minus_top5_impostor_delta_prior_low_minus_prior0,prior0_final_fullpool_top1_success,prior_low_final_fullpool_top1_success,final_fullpool_top1_success_delta_prior_low_minus_prior0,prior0_final_sampled300_appearances,prior_low_final_sampled300_appearances,final_sampled300_appearances_delta_prior_low_minus_prior0,prior0_final_sampled300_success_count,prior_low_final_sampled300_success_count,final_sampled300_success_count_delta_prior_low_minus_prior0,prior0_final_sampled300_success_rate,prior_low_final_sampled300_success_rate,final_sampled300_success_rate_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_rank_mean,prior_low_final_sampled300_sampled_rank_mean,final_sampled300_sampled_rank_mean_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_positive_similarity,prior_low_final_sampled300_sampled_positive_similarity,final_sampled300_sampled_positive_similarity_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_mean_impostor_similarity,prior_low_final_sampled300_sampled_mean_impostor_similarity,final_sampled300_sampled_mean_impostor_similarity_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_hardest_impostor_similarity,prior_low_final_sampled300_sampled_hardest_impostor_similarity,final_sampled300_sampled_hardest_impostor_similarity_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_positive_minus_mean_impostor,prior_low_final_sampled300_sampled_positive_minus_mean_impostor,final_sampled300_sampled_positive_minus_mean_impostor_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_positive_minus_hardest_impostor,prior_low_final_sampled300_sampled_positive_minus_hardest_impostor,final_sampled300_sampled_positive_minus_hardest_impostor_delta_prior_low_minus_prior0,final_feature_norm_delta_prior_low_minus_prior0,final_brainret_success_rate_delta_prior_low_minus_prior0
7,0,2950,22.0,281.0,259.0,27.0,65.0,38.0,0.020240102,0.020240102,11.965485,1.3666801,0.0049782023,-0.023775063,0.0041730255,-0.021942142,-0.120829135,-0.010825433,0.1100037,0.14809865,0.18767613,0.039577484,0.14239351,0.17849359,0.036100075,0.12977234,0.17651848,0.04674615,22.0,281.0,259.0,0.034620747,0.05486085,0.020240102,0.012470884,0.04612865,0.033657767,0.043934736,0.0879499,0.044015165,0.022149863,0.0087322,-0.013417663,-0.009313989,-0.033089053,-0.023775063,-0.0073449835,-0.029287126,-0.021942142,0.0,0.0,0.0,6,6,0,0,0,0,0.0,0.0,0.0,7.666666666666667,81.33333333333333,73.66666666666666,0.0346207469701767,0.05486084893345833,0.02024010196328163,0.012433086056262255,0.04569390912850698,0.033260823072244726,0.04236777499318123,0.08427502090732257,0.04190724591414134,0.02218766137957573,0.00916693980495135,-0.01302072157462438,-0.007747028023004532,-0.02941417197386424,-0.021667143950859707,11.965485,0.0
7,1,2990,125.0,182.0,57.0,98.0,70.0,-28.0,0.034201864,0.034201864,5.161194,1.0571327,0.010125902,-0.016153846,0.008856457,-0.011171591,0.15018399,0.2794002,0.12921621,-0.0064025824,-0.028768463,-0.022365881,-0.0071899556,-0.029700343,-0.022510387,0.003895617,-0.00019622703,-0.004091844,125.0,182.0,57.0,0.027212568,0.06141443,0.034201864,0.015406402,0.047227193,0.03182079,0.043926798,0.09428251,0.05035571,0.011806166,0.014187239,0.0023810733,-0.01671423,-0.032868076,-0.016153846,-0.015397586,-0.026569176,-0.011171591,0.0,0.0,0.0,13,13,0,0,0,0,0.0,0.0,0.0,38.0,59.61538461538461,21.615384615384613,0.027212567627429962,0.061414431780576706,0.034201864153146744,0.015340309016979657,0.04758770649249737,0.03224739747551771,0.04322005693729107,0.0888052972463461,0.04558524030905503,0.011872258610450305,0.013826725288079334,0.0019544666776290295,-0.01600748930986111,-0.027390865465769403,-0.011383376155908294,5.161194,0.0
7,2,3049,4.0,53.0,49.0,20.0,22.0,2.0,0.025252245,0.025252245,-48.226654,-1.6459064,0.008877628,-0.015011981,0.0041782334,-0.013739057,-0.27775908,-0.4305191,-0.15276003,-0.051374365,-0.065892205,-0.01451784,-0.01552418,-0.052581005,-0.037056826,-0.056396045,-0.10298035,-0.04658431,4.0,53.0,49.0,0.04804433,0.07329658,0.025252245,0.0163774,0.047280412,0.030903012,0.053107917,0.093372144,0.040264226,0.03166693,0.026016165,-0.005650766,-0.005063586,-0.020075567,-0.015011981,-0.0014397949,-0.015178852,-0.013739057,0.0,0.0,0.0,12,12,0,4,0,-4,0.3333333333333333,0.0,-0.3333333333333333,1.8333333333333333,16.0,14.166666666666666,0.04804433137178421,0.07329657673835754,0.025252245366573334,0.016396936882908147,0.047400856080154576,0.03100391919724643,0.04909633286297321,0.088279298817118,0.03918296595414479,0.03164739441126585,0.025895720658202965,-0.005751673753062885,-0.001052001491189003,-0.014982722078760466,-0.013930720587571463,-48.226654,-0.3333333333333333
7,3,3077,1.0,38.0,37.0,1.0,1.0,0.0,0.016544767,0.016544767,-54.671173,-1.349081,-0.005992513,-0.027866628,-0.006309688,-0.023047123,-0.12434707,-0.28594455,-0.16159749,-0.0029031557,-0.087856814,-0.08495366,0.0010957093,-0.09639212,-0.09748783,-0.016522862,-0.1310903,-0.11456744,1.0,38.0,37.0,0.057596713,0.07414148,0.016544767,0.021338273,0.049125873,0.0277876,0.051721852,0.09613325,0.044411395,0.03625844,0.025015607,-0.011242833,0.005874861,-0.021991767,-0.027866628,0.008369293,-0.01467783,-0.023047123,1.0,0.0,-1.0,9,9,0,9,0,-9,1.0,0.0,-1.0,1.0,12.88888888888889,11.88888888888889,0.05759671330451965,0.0741414800286293,0.01654476672410965,0.021337100408143468,0.049235334826840296,0.027898234418696828,0.0481191910803318,0.08900044030613369,0.040881249225801886,0.03625961268941561,0.024906145201789007,-0.011353467487626605,0.009477522224187851,-0.014858960277504392,-0.024336482501692243,-54.671173,-1.0
7,4,3146,1.0,26.0,25.0,6.0,2.0,-4.0,0.026304167,0.026304167,-18.973358,-0.15242958,0.0059833825,-0.024742909,0.0034901164,-0.016959105,0.5997562,0.57617193,-0.023584247,0.48718655,0.48703483,-0.00015172362,0.50407934,0.5219443,0.017864943,0.5330116,0.5472862,0.014274597,1.0,26.0,25.0,0.05120864,0.07751281,0.026304167,0.020052988,0.0487233,0.028670311,0.047984567,0.09903164,0.051047076,0.031155653,0.02878951,-0.0023661442,0.0032240748,-0.021518834,-0.024742909,0.0044452287,-0.012513876,-0.016959105,1.0,0.0,-1.0,15,15,0,15,0,-15,1.0,0.0,-1.0,1.0,8.2,7.199999999999999,0.05120864138007164,0.07751280814409256,0.02630416676402092,0.020061921204129855,0.04877827788392703,0.028716356679797175,0.04648315558830897,0.08902293344338735,0.042539777855078384,0.0311467199275891,0.028734530260165533,-0.0024121896674235664,0.00472548579176267,-0.01151012529929479,-0.01623561109105746,-18.973358,-1.0
7,5,3157,4.0,137.0,133.0,1.0,2.0,1.0,0.0060639344,0.0060639344,-29.327942,-1.186943,-0.0039344765,-0.027372677,-0.0073478334,-0.02669968,0.63011765,0.5678541,-0.06226355,0.35137373,0.20430207,-0.14707166,0.39418226,0.24016035,-0.15402192,0.4620917,0.30804095,-0.15405077,4.0,137.0,133.0,0.05542255,0.061486483,0.0060639344,0.006289265,0.043140125,0.03685086,0.060441174,0.093877785,0.03343661,0.049133282,0.018346358,-0.030786924,-0.0050186254,-0.032391302,-0.027372677,-0.0008721836,-0.027571864,-0.02669968,0.0,0.0,0.0,9,9,0,4,0,-4,0.4444444444444444,0.0,-0.4444444444444444,1.7777777777777777,45.55555555555556,43.77777777777778,0.055422548204660416,0.06148648262023926,0.006063934415578842,0.006666961746911208,0.04380018553800053,0.037133223791089326,0.055364603797594704,0.090382419526577,0.03501781572898229,0.0487555865612295,0.017686297082238726,-0.03106928947899077,5.7944407065709434e-05,-0.028895936906337738,-0.028953881313403446,-29.327942,-0.4444444444444444
7,6,3164,2.0,67.0,65.0,1.0,8.0,7.0,0.013343424,0.013343424,-14.672058,0.18053436,-0.00800702,-0.020564191,-0.010995805,-0.022540852,0.47729185,0.4013087,-0.07598317,0.17157482,0.20603482,0.03446001,0.17513922,0.21477856,0.03963934,0.22203146,0.2471706,0.025139138,2.0,67.0,65.0,0.05671557,0.070058994,0.013343424,0.019914934,0.04737881,0.027463874,0.05775161,0.091659226,0.033907615,0.036800638,0.022680186,-0.014120452,-0.0010360405,-0.021600232,-0.020564191,0.005854748,-0.016686104,-0.022540852,0.0,0.0,0.0,8,8,0,7,0,-7,0.875,0.0,-0.875,1.125,19.125,18.0,0.05671557039022446,0.07005899399518967,0.01334342360496521,0.0201888179872185,0.04725481756031513,0.027065999573096633,0.04879190493375063,0.08562028780579567,0.03682838287204504,0.036526752170175314,0.022804176434874535,-0.01372257573530078,0.007923665456473827,-0.015561293810606003,-0.02348495926707983,-14.672058,-0.875
7,7,3171,6.0,514.0,508.0,4.0,14.0,10.0,-0.0006326847,-0.0006326847,16.587128,1.4626999,-0.0024612993,-0.037058596,-0.004194729,-0.038163852,0.50424355,0.30291483,-0.20132872,0.17581935,-0.014736194,-0.19055554,0.21903571,-0.010358816,-0.22939453,0.27461362,0.016357478,-0.25825614,6.0,514.0,508.0,0.04880726,0.048174575,-0.0006326847,0.01963962,0.048478182,0.028838562,0.056884244,0.093310155,0.03642591,0.02916764,-0.00030360743,-0.029471247,-0.008076984,-0.04513558,-0.037058596,-0.0043637715,-0.042527623,-0.038163852,0.0,0.0,0.0,8,8,0,2,0,-2,0.25,0.0,-0.25,2.25,153.5,151.25,0.048807259649038315,0.048174574971199036,-0.0006326846778392792,0.019264318514615297,0.04821273498237133,0.028948416467756033,0.05355518637225032,0.08926344756036997,0.03570826118811965,0.029542941134423018,-3.816001117229462e-05,-0.029581101145595312,-0.004747926723212004,-0.04108887258917093,-0.03634094586595893,16.587128,-0.25
7,8,3181,2.0,7.0,5.0,4.0,1.0,-3.0,0.032553308,0.032553308,-32.144714,-0.9541149,0.0025844425,-0.009988274,0.00092131644,-0.009648636,0.11154934,0.06265148,-0.048897862,0.12573127,0.018889325,-0.10684195,0.12882292,0.02812031,-0.10070261,0.13375536,0.0355568,-0.098198555,2.0,7.0,5.0,0.050980933,0.08353424,0.032553308,0.011867666,0.04494826,0.033080596,0.051159102,0.093700685,0.042541582,0.03911327,0.03858598,-0.00052728876,-0.00017816946,-0.010166444,-0.009988274,0.004082218,-0.005566418,-0.009648636,0.0,0.0,0.0,12,12,0,9,1,-8,0.75,0.08333333333333333,-0.6666666666666666,1.25,3.3333333333333335,2.0833333333333335,0.050980933010578156,0.08353424072265625,0.032553307712078094,0.011801809227714935,0.045540307027598224,0.03373849779988329,0.046786606001357235,0.08978753723204136,0.043000931230684124,0.039179123006761074,0.037993933695058026,-0.0011851893117030485,0.004194327009220918,-0.006253296509385109,-0.010447623518606026,-32.144714,-0.6666666666666666
7,9,3386,2.0,52.0,50.0,1.0,12.0,11.0,0.017084207,0.017084207,-23.807678,-0.03378296,-0.007841326,-0.018923495,-0.00823734,-0.01681985,-0.044129673,-0.10121709,-0.057087418,0.039672658,-0.012263037,-0.051935695,0.0753527,0.005866877,-0.06948582,0.055843093,-0.010791467,-0.06663456,2.0,52.0,50.0,0.057601277,0.074685484,0.017084207,0.027619403,0.05160881,0.023989405,0.061120212,0.097127914,0.036007702,0.029981874,0.023076676,-0.006905198,-0.0035189353,-0.02244243,-0.018923495,9.448826e-05,-0.016725361,-0.01681985,0.0,0.0,0.0,5,5,0,3,0,-3,0.6,0.0,-0.6,1.4,15.6,14.2,0.05760127678513527,0.0746854841709137,0.017084207385778427,0.027848311886191367,0.052247018367052075,0.024398706480860708,0.055342689901590345,0.09015171527862549,0.03480902537703515,0.029752964898943902,0.022438465803861617,-0.007314499095082284,0.002258586883544922,-0.015466231107711791,-0.017724817991256712,-23.807678,-0.6
