subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median
5,cycle40_subj05_prior0_1sess_150ep,0,2950,0.040966935,0.04897283,195,-0.008005895,2.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,1,2990,0.047021426,0.053744268,876,-0.0067228414,2.0,0.7692307692307693,1.2307692307692308,1.0
5,cycle40_subj05_prior0_1sess_150ep,2,3049,0.049355805,0.052023944,11,-0.0026681386,4.0,0.16666666666666666,2.0,2.0
5,cycle40_subj05_prior0_1sess_150ep,3,3077,0.027701605,0.041830372,872,-0.014128767,19.0,0.0,6.444444444444445,6.0
5,cycle40_subj05_prior0_1sess_150ep,4,3146,0.03236678,0.040289175,36,-0.007922396,9.0,0.0,4.0,4.0
5,cycle40_subj05_prior0_1sess_150ep,5,3157,0.0471682,0.050849427,778,-0.0036812276,2.0,0.6666666666666666,1.3333333333333333,1.0
5,cycle40_subj05_prior0_1sess_150ep,6,3164,0.026910426,0.04501256,906,-0.018102134,92.0,0.0,29.125,30.5
5,cycle40_subj05_prior0_1sess_150ep,7,3171,0.018396901,0.044630017,162,-0.026233116,153.0,0.0,44.625,46.0
5,cycle40_subj05_prior0_1sess_150ep,8,3181,0.06055402,0.052326035,674,0.008227985,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,9,3386,0.029206548,0.043576185,331,-0.014369637,43.0,0.0,12.6,13.0
5,cycle40_subj05_prior0_1sess_150ep,10,3434,0.046897158,0.052848928,175,-0.0059517696,3.0,0.5833333333333334,1.5833333333333333,1.0
5,cycle40_subj05_prior0_1sess_150ep,11,3449,0.059088923,0.04019486,647,0.018894061,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,12,3489,0.03705288,0.04700147,652,-0.009948589,7.0,0.4,1.8,2.0
5,cycle40_subj05_prior0_1sess_150ep,13,3626,0.04292197,0.04816227,316,-0.005240299,4.0,0.3076923076923077,2.0,2.0
5,cycle40_subj05_prior0_1sess_150ep,14,3682,0.041341495,0.044294562,996,-0.0029530674,2.0,0.8,1.2,1.0
5,cycle40_subj05_prior0_1sess_150ep,15,3687,0.049681164,0.048791353,828,0.00088981166,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,16,3729,0.04619002,0.04879662,777,-0.0026066005,2.0,0.5,1.5,1.5
5,cycle40_subj05_prior0_1sess_150ep,17,3809,0.025921252,0.038246866,903,-0.012325615,17.0,0.0,5.5,5.5
