subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median
7,cycle40_subj07_prior_low_1sess_150ep,0,2950,0.05486085,0.0879499,171,-0.033089053,281.0,0.0,81.33333333333333,84.5
7,cycle40_subj07_prior_low_1sess_150ep,1,2990,0.06141443,0.09428251,718,-0.032868076,182.0,0.0,59.61538461538461,60.0
7,cycle40_subj07_prior_low_1sess_150ep,2,3049,0.07329658,0.093372144,718,-0.020075567,53.0,0.0,16.0,18.0
7,cycle40_subj07_prior_low_1sess_150ep,3,3077,0.07414148,0.09613325,718,-0.021991767,38.0,0.0,12.88888888888889,14.0
7,cycle40_subj07_prior_low_1sess_150ep,4,3146,0.07751281,0.09903164,718,-0.021518834,26.0,0.0,8.2,8.0
7,cycle40_subj07_prior_low_1sess_150ep,5,3157,0.061486483,0.093877785,109,-0.032391302,137.0,0.0,45.55555555555556,47.0
7,cycle40_subj07_prior_low_1sess_150ep,6,3164,0.070058994,0.091659226,718,-0.021600232,67.0,0.0,19.125,16.0
7,cycle40_subj07_prior_low_1sess_150ep,7,3171,0.048174575,0.093310155,718,-0.04513558,514.0,0.0,153.5,154.0
7,cycle40_subj07_prior_low_1sess_150ep,8,3181,0.08353424,0.093700685,718,-0.010166444,7.0,0.08333333333333333,3.3333333333333335,3.0
7,cycle40_subj07_prior_low_1sess_150ep,9,3386,0.074685484,0.097127914,718,-0.02244243,52.0,0.0,15.6,16.0
7,cycle40_subj07_prior_low_1sess_150ep,10,3434,0.05815189,0.0897866,718,-0.031634707,212.0,0.0,66.41666666666667,68.0
7,cycle40_subj07_prior_low_1sess_150ep,11,3449,0.09079129,0.09272996,718,-0.0019386709,2.0,0.8,1.2,1.0
7,cycle40_subj07_prior_low_1sess_150ep,12,3489,0.076464616,0.0979152,718,-0.021450587,26.0,0.0,9.6,11.0
7,cycle40_subj07_prior_low_1sess_150ep,13,3626,0.09011668,0.101402804,718,-0.011286125,4.0,0.46153846153846156,1.8461538461538463,2.0
7,cycle40_subj07_prior_low_1sess_150ep,14,3682,0.048984405,0.08848946,718,-0.039505053,352.0,0.0,111.3,112.5
7,cycle40_subj07_prior_low_1sess_150ep,15,3687,0.0668788,0.09746273,718,-0.030583926,123.0,0.0,40.833333333333336,40.0
7,cycle40_subj07_prior_low_1sess_150ep,16,3729,0.03966044,0.09170661,718,-0.052046172,776.0,0.0,236.25,237.0
7,cycle40_subj07_prior_low_1sess_150ep,17,3809,0.047774322,0.0886278,718,-0.040853478,549.0,0.0,166.5,164.5
7,cycle40_subj07_prior_low_1sess_150ep,18,3842,0.08145321,0.09384253,141,-0.012389317,17.0,0.0,6.25,7.0
7,cycle40_subj07_prior_low_1sess_150ep,19,3847,0.05560292,0.09113128,718,-0.035528358,209.0,0.0,66.0,65.0
7,cycle40_subj07_prior_low_1sess_150ep,20,3856,0.056281086,0.1005858,718,-0.044304717,348.0,0.0,106.28571428571429,106.0
7,cycle40_subj07_prior_low_1sess_150ep,21,3913,0.059513975,0.0896708,227,-0.030156825,169.0,0.0,50.6,49.0
7,cycle40_subj07_prior_low_1sess_150ep,22,3951,0.067327805,0.087899365,718,-0.02057156,68.0,0.0,22.22222222222222,23.0
7,cycle40_subj07_prior_low_1sess_150ep,23,4051,0.073921494,0.094105214,171,-0.02018372,53.0,0.0,19.333333333333332,19.5
7,cycle40_subj07_prior_low_1sess_150ep,24,4058,0.072793655,0.09116744,718,-0.018373787,62.0,0.0,18.4,18.0
7,cycle40_subj07_prior_low_1sess_150ep,25,4129,0.06825426,0.09579759,718,-0.027543329,109.0,0.0,37.166666666666664,37.0
7,cycle40_subj07_prior_low_1sess_150ep,26,4156,0.05844298,0.09407925,718,-0.03563627,269.0,0.0,82.2,83.0
7,cycle40_subj07_prior_low_1sess_150ep,27,4249,0.07071535,0.08763656,718,-0.016921207,28.0,0.0,7.666666666666667,8.0
7,cycle40_subj07_prior_low_1sess_150ep,28,4325,0.07339753,0.08921735,174,-0.015819818,45.0,0.0,14.545454545454545,14.0
7,cycle40_subj07_prior_low_1sess_150ep,29,4423,0.05931376,0.098249175,718,-0.038935415,226.0,0.0,70.1,68.0
7,cycle40_subj07_prior_low_1sess_150ep,30,4436,0.0792048,0.08753454,178,-0.008329742,9.0,0.0,4.0,4.0
7,cycle40_subj07_prior_low_1sess_150ep,31,4612,0.07246593,0.09761777,718,-0.025151841,58.0,0.0,17.875,18.5
7,cycle40_subj07_prior_low_1sess_150ep,32,4667,0.059605155,0.0874423,718,-0.027837146,121.0,0.0,37.76923076923077,37.0
7,cycle40_subj07_prior_low_1sess_150ep,33,4690,0.047335017,0.091382295,718,-0.044047277,425.0,0.0,130.63636363636363,132.0
7,cycle40_subj07_prior_low_1sess_150ep,34,4768,0.07400986,0.09030517,718,-0.016295314,32.0,0.0,12.222222222222221,13.0
7,cycle40_subj07_prior_low_1sess_150ep,35,4786,0.084739655,0.088873915,109,-0.00413426,5.0,0.1,2.6,2.0
7,cycle40_subj07_prior_low_1sess_150ep,36,4835,0.05901698,0.100470215,718,-0.041453235,261.0,0.0,82.5,82.0
7,cycle40_subj07_prior_low_1sess_150ep,37,4869,0.05103839,0.09048932,718,-0.039450932,413.0,0.0,130.77777777777777,130.0
7,cycle40_subj07_prior_low_1sess_150ep,38,4892,0.069089845,0.0971692,718,-0.028079353,121.0,0.0,38.75,39.0
7,cycle40_subj07_prior_low_1sess_150ep,39,4930,0.078983836,0.08360667,334,-0.004622832,3.0,0.4166666666666667,1.75,2.0
7,cycle40_subj07_prior_low_1sess_150ep,40,5034,0.062410515,0.08635161,718,-0.023941096,153.0,0.0,48.5,48.0
7,cycle40_subj07_prior_low_1sess_150ep,41,5106,0.070111185,0.09481871,718,-0.024707526,90.0,0.0,30.5,30.0
7,cycle40_subj07_prior_low_1sess_150ep,42,5204,0.06420981,0.09777052,718,-0.03356071,192.0,0.0,62.857142857142854,64.0
7,cycle40_subj07_prior_low_1sess_150ep,43,5285,0.07278506,0.09693522,171,-0.024150163,34.0,0.0,10.666666666666666,10.0
7,cycle40_subj07_prior_low_1sess_150ep,44,5301,0.07248355,0.08938564,864,-0.016902097,24.0,0.0,8.181818181818182,7.0
7,cycle40_subj07_prior_low_1sess_150ep,45,5338,0.048798647,0.08549932,141,-0.03670067,316.0,0.0,98.66666666666667,98.0
7,cycle40_subj07_prior_low_1sess_150ep,46,5427,0.056684274,0.087673515,718,-0.03098924,238.0,0.0,74.125,72.0
7,cycle40_subj07_prior_low_1sess_150ep,47,5459,0.069749154,0.09140309,718,-0.021653935,55.0,0.0,15.0,15.5
7,cycle40_subj07_prior_low_1sess_150ep,48,5502,0.053904366,0.097298786,718,-0.04339442,410.0,0.0,125.55555555555556,123.0
7,cycle40_subj07_prior_low_1sess_150ep,49,5542,0.07738547,0.09079161,171,-0.013406143,19.0,0.0,6.222222222222222,7.0
7,cycle40_subj07_prior_low_1sess_150ep,50,5574,0.08355597,0.09976954,718,-0.016213574,7.0,0.125,3.125,3.0
7,cycle40_subj07_prior_low_1sess_150ep,51,5583,0.08517429,0.09874803,718,-0.013573736,14.0,0.0,5.25,5.5
7,cycle40_subj07_prior_low_1sess_150ep,52,5602,0.04336809,0.084935345,718,-0.041567255,486.0,0.0,146.71428571428572,142.0
7,cycle40_subj07_prior_low_1sess_150ep,53,5714,0.06585068,0.08701754,141,-0.021166861,87.0,0.0,26.818181818181817,26.0
7,cycle40_subj07_prior_low_1sess_150ep,54,5878,0.090775736,0.09242732,718,-0.0016515851,2.0,0.7777777777777778,1.2222222222222223,1.0
7,cycle40_subj07_prior_low_1sess_150ep,55,5890,0.029723551,0.09168482,718,-0.061961267,952.0,0.0,286.4,286.0
7,cycle40_subj07_prior_low_1sess_150ep,56,6132,0.09140043,0.100169756,718,-0.008769326,4.0,0.3333333333333333,2.1666666666666665,2.0
7,cycle40_subj07_prior_low_1sess_150ep,57,6199,0.08184748,0.09053819,171,-0.008690707,10.0,0.0,3.4,3.0
7,cycle40_subj07_prior_low_1sess_150ep,58,6222,0.07364692,0.09472356,718,-0.021076642,24.0,0.0,10.0,10.5
