subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median
5,cycle44_subj05_margin_low_1sess_150ep,0,2950,0.0398935,0.04962663,195,-0.009733129,4.0,0.3333333333333333,1.6666666666666667,2.0
5,cycle44_subj05_margin_low_1sess_150ep,1,2990,0.048317324,0.052970406,876,-0.0046530813,5.0,0.15384615384615385,2.1538461538461537,2.0
5,cycle44_subj05_margin_low_1sess_150ep,2,3049,0.056838177,0.05599349,11,0.0008446872,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,3,3077,0.03785205,0.04675746,493,-0.008905411,11.0,0.0,3.888888888888889,4.0
5,cycle44_subj05_margin_low_1sess_150ep,4,3146,0.041870676,0.04222407,828,-0.0003533922,3.0,0.26666666666666666,1.8666666666666667,2.0
5,cycle44_subj05_margin_low_1sess_150ep,5,3157,0.051637195,0.052497655,778,-0.0008604601,2.0,0.6666666666666666,1.3333333333333333,1.0
5,cycle44_subj05_margin_low_1sess_150ep,6,3164,0.02663929,0.04144814,906,-0.0148088485,89.0,0.0,28.125,29.5
5,cycle44_subj05_margin_low_1sess_150ep,7,3171,0.026052544,0.04730846,162,-0.021255916,72.0,0.0,20.75,20.5
5,cycle44_subj05_margin_low_1sess_150ep,8,3181,0.059288163,0.05413779,674,0.005150374,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,9,3386,0.031914134,0.05170024,331,-0.019786105,50.0,0.0,14.4,15.0
5,cycle44_subj05_margin_low_1sess_150ep,10,3434,0.04749465,0.053310316,175,-0.005815666,3.0,0.5,1.5,1.5
5,cycle44_subj05_margin_low_1sess_150ep,11,3449,0.061644487,0.04758534,426,0.014059149,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,12,3489,0.049069766,0.050977606,652,-0.0019078404,2.0,0.8,1.2,1.0
5,cycle44_subj05_margin_low_1sess_150ep,13,3626,0.040193874,0.050234452,316,-0.0100405775,7.0,0.07692307692307693,2.8461538461538463,3.0
5,cycle44_subj05_margin_low_1sess_150ep,14,3682,0.042816985,0.047958802,996,-0.005141817,5.0,0.1,2.4,2.0
5,cycle44_subj05_margin_low_1sess_150ep,15,3687,0.045883402,0.05276433,828,-0.006880928,3.0,0.3333333333333333,1.8333333333333333,2.0
5,cycle44_subj05_margin_low_1sess_150ep,16,3729,0.04423692,0.04441348,777,-0.00017656013,2.0,0.5,1.5,1.5
5,cycle44_subj05_margin_low_1sess_150ep,17,3809,0.02703663,0.042955857,903,-0.015919227,25.0,0.0,7.375,7.5
5,cycle44_subj05_margin_low_1sess_150ep,18,3842,0.036319904,0.050715785,493,-0.014395881,15.0,0.0,5.625,5.5
5,cycle44_subj05_margin_low_1sess_150ep,19,3847,0.05197128,0.054004014,614,-0.0020327345,2.0,0.3333333333333333,1.6666666666666667,2.0
5,cycle44_subj05_margin_low_1sess_150ep,20,3856,0.036445875,0.04482573,967,-0.008379854,5.0,0.42857142857142855,1.7142857142857142,2.0
5,cycle44_subj05_margin_low_1sess_150ep,21,3913,0.056560587,0.051766653,967,0.0047939345,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,22,3951,0.046636794,0.05056367,793,-0.003926877,2.0,0.7777777777777778,1.2222222222222223,1.0
5,cycle44_subj05_margin_low_1sess_150ep,23,4051,0.038251843,0.052027613,64,-0.01377577,27.0,0.0,8.25,8.0
5,cycle44_subj05_margin_low_1sess_150ep,24,4058,0.050680906,0.059251312,493,-0.008570407,2.0,0.4,1.6,2.0
5,cycle44_subj05_margin_low_1sess_150ep,25,4129,0.048849236,0.05245572,442,-0.0036064833,3.0,0.5,1.6666666666666667,1.5
5,cycle44_subj05_margin_low_1sess_150ep,26,4156,0.057162825,0.05568628,680,0.0014765449,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,27,4249,0.059569646,0.04621749,814,0.013352156,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,28,4325,0.06420587,0.05583315,590,0.00837272,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,29,4423,0.03713141,0.052066974,225,-0.014935564,41.0,0.0,12.4,13.5
5,cycle44_subj05_margin_low_1sess_150ep,30,4436,0.04193067,0.05112509,853,-0.009194419,6.0,0.14285714285714285,2.4285714285714284,2.0
5,cycle44_subj05_margin_low_1sess_150ep,31,4612,0.047930907,0.046063256,29,0.0018676519,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,32,4667,0.042326394,0.03977659,940,0.0025498047,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,33,4690,0.032712083,0.047629215,172,-0.0149171315,17.0,0.0,6.2727272727272725,6.0
5,cycle44_subj05_margin_low_1sess_150ep,34,4768,0.032737523,0.043993507,914,-0.011255983,37.0,0.0,12.777777777777779,13.0
5,cycle44_subj05_margin_low_1sess_150ep,35,4786,0.026142122,0.045078196,191,-0.018936073,12.0,0.1,3.2,3.0
5,cycle44_subj05_margin_low_1sess_150ep,36,4835,0.047403794,0.047528055,400,-0.00012426078,2.0,0.8333333333333334,1.1666666666666667,1.0
5,cycle44_subj05_margin_low_1sess_150ep,37,4869,0.046979703,0.048078414,582,-0.001098711,2.0,0.6666666666666666,1.3333333333333333,1.0
5,cycle44_subj05_margin_low_1sess_150ep,38,4892,0.04820853,0.051984802,876,-0.003776271,4.0,0.625,1.5,1.0
5,cycle44_subj05_margin_low_1sess_150ep,39,4930,0.06935601,0.04466984,493,0.024686169,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,40,5034,0.042682927,0.047129355,686,-0.0044464283,3.0,0.5,1.6,1.5
5,cycle44_subj05_margin_low_1sess_150ep,41,5106,0.042697307,0.048079874,674,-0.0053825676,9.0,0.0,3.5,3.5
5,cycle44_subj05_margin_low_1sess_150ep,42,5204,0.02901667,0.04468529,990,-0.01566862,64.0,0.0,18.857142857142858,19.0
5,cycle44_subj05_margin_low_1sess_150ep,43,5285,0.04779055,0.0461637,761,0.0016268492,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,44,5301,0.035218436,0.026401242,864,0.008817194,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,45,5338,0.04380224,0.04705155,239,-0.00324931,2.0,0.6666666666666666,1.3333333333333333,1.0
5,cycle44_subj05_margin_low_1sess_150ep,46,5427,0.062143367,0.05491695,830,0.007226415,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,47,5459,0.037784453,0.03917006,885,-0.0013856068,3.0,0.5,1.75,1.5
5,cycle44_subj05_margin_low_1sess_150ep,48,5502,0.05968072,0.053548664,246,0.006132055,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,49,5542,0.051297028,0.049395133,162,0.0019018948,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,50,5574,0.038181305,0.04075735,468,-0.0025760457,3.0,0.5,1.5,1.5
5,cycle44_subj05_margin_low_1sess_150ep,51,5583,0.026502911,0.053908102,118,-0.027405191,188.0,0.0,57.75,58.5
5,cycle44_subj05_margin_low_1sess_150ep,52,5602,0.015521395,0.027228659,208,-0.011707264,7.0,0.0,3.0,3.0
5,cycle44_subj05_margin_low_1sess_150ep,53,5714,0.048568435,0.039702907,222,0.008865528,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,54,5878,0.0464982,0.038829602,43,0.0076685995,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,55,5890,0.03399838,0.04174328,793,-0.007744897,7.0,0.0,3.2,3.0
5,cycle44_subj05_margin_low_1sess_150ep,56,6132,0.041877944,0.039482877,447,0.0023950674,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,57,6199,0.040888224,0.041133277,246,-0.00024505332,2.0,0.6,1.4,1.0
5,cycle44_subj05_margin_low_1sess_150ep,58,6222,0.03984003,0.05313448,827,-0.013294447,5.0,0.25,1.75,2.0
5,cycle44_subj05_margin_low_1sess_150ep,59,6431,0.040725216,0.041056313,162,-0.00033109635,2.0,0.42857142857142855,1.5714285714285714,2.0
5,cycle44_subj05_margin_low_1sess_150ep,60,6444,0.057194456,0.053501807,828,0.0036926493,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,61,6489,0.05234572,0.05080167,78,0.0015440509,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,62,6514,0.026653353,0.043557383,339,-0.01690403,49.0,0.0,16.0,16.0
5,cycle44_subj05_margin_low_1sess_150ep,63,6521,0.053988747,0.055576794,715,-0.0015880466,2.0,0.7333333333333333,1.2666666666666666,1.0
5,cycle44_subj05_margin_low_1sess_150ep,64,6524,0.047194187,0.04652602,252,0.00066816807,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,65,6558,0.044504073,0.033712868,520,0.010791205,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,66,6640,0.0482157,0.052490156,862,-0.0042744577,2.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,67,6713,0.047537915,0.04447259,827,0.0030653253,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,68,6801,0.031110585,0.045159545,885,-0.01404896,20.0,0.0,7.166666666666667,8.0
5,cycle44_subj05_margin_low_1sess_150ep,69,7007,0.04638893,0.044346366,12,0.0020425655,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,70,7039,0.055703435,0.05055451,682,0.005148925,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,71,7120,0.03943633,0.04218716,460,-0.0027508326,3.0,0.4444444444444444,1.6666666666666667,2.0
5,cycle44_subj05_margin_low_1sess_150ep,72,7207,0.04421343,0.049063705,207,-0.004850276,5.0,0.0,2.4285714285714284,2.0
5,cycle44_subj05_margin_low_1sess_150ep,73,7336,0.05033838,0.05148699,5,-0.0011486113,3.0,0.375,1.75,2.0
5,cycle44_subj05_margin_low_1sess_150ep,74,7366,0.04202522,0.045218453,590,-0.0031932332,2.0,0.4444444444444444,1.5555555555555556,2.0
5,cycle44_subj05_margin_low_1sess_150ep,75,7409,0.042833228,0.051225133,191,-0.008391906,6.0,0.14285714285714285,2.5714285714285716,2.0
5,cycle44_subj05_margin_low_1sess_150ep,76,7418,0.047513347,0.03763827,934,0.009875078,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,77,7480,0.041057907,0.04517459,300,-0.004116684,2.0,0.6,1.4,1.0
5,cycle44_subj05_margin_low_1sess_150ep,78,7654,0.058467124,0.04910372,417,0.009363405,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,79,7659,0.047162,0.047093004,695,6.89961e-05,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,80,7840,0.033756148,0.040020593,744,-0.0062644444,6.0,0.125,2.5,2.5
5,cycle44_subj05_margin_low_1sess_150ep,81,7859,0.03540341,0.049947787,222,-0.014544375,22.0,0.0,7.125,7.0
5,cycle44_subj05_margin_low_1sess_150ep,82,7944,0.058749907,0.048373368,554,0.010376539,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,83,7948,0.042580567,0.046427708,693,-0.0038471408,7.0,0.0,3.111111111111111,3.0
5,cycle44_subj05_margin_low_1sess_150ep,84,7954,0.01587721,0.051176112,486,-0.035298903,165.0,0.0,49.5,50.0
5,cycle44_subj05_margin_low_1sess_150ep,85,8006,0.047384698,0.050385453,384,-0.0030007549,4.0,0.6,1.4,1.0
5,cycle44_subj05_margin_low_1sess_150ep,86,8109,0.03579233,0.04360555,162,-0.007813223,12.0,0.0,3.5,3.5
5,cycle44_subj05_margin_low_1sess_150ep,87,8204,0.029448327,0.049587183,540,-0.020138856,61.0,0.0,17.818181818181817,18.0
5,cycle44_subj05_margin_low_1sess_150ep,88,8225,0.019799417,0.03979145,583,-0.019992033,63.0,0.0,19.8,19.0
5,cycle44_subj05_margin_low_1sess_150ep,89,8262,0.027936503,0.044165503,818,-0.016229,62.0,0.0,22.5,23.0
5,cycle44_subj05_margin_low_1sess_150ep,90,8274,0.058481388,0.047737747,651,0.01074364,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,91,8318,0.04913747,0.043484632,793,0.0056528375,1.0,1.0,1.0,1.0
5,cycle44_subj05_margin_low_1sess_150ep,92,8387,0.041683123,0.049002413,48,-0.00731929,6.0,0.0,2.25,2.0
5,cycle44_subj05_margin_low_1sess_150ep,93,8394,0.036711812,0.0391073,604,-0.0023954883,4.0,0.42857142857142855,1.7142857142857142,2.0
