subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,delta_sampled_top1_success_rate,rank1_to_not1,not1_to_rank1
7,cycle44_subj07_margin_low_1sess_150ep,0,2950,0.027308373,0.04260366,875,-0.015295288,78.0,0.0,23.833333333333332,23.5,-0.007312374,-0.001331076,-0.005981298,56.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,1,2990,0.024801264,0.043427456,921,-0.018626193,128.0,0.0,39.38461538461539,39.0,-0.002411304,-0.00049934164,-0.0019119624,3.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,2,3049,0.052057117,0.05430025,11,-0.0022431314,2.0,0.8333333333333334,1.1666666666666667,1.0,0.004012786,0.0011923313,0.0028204545,-2.0,0.5,0,0
7,cycle44_subj07_margin_low_1sess_150ep,3,3077,0.056821413,0.05015771,11,0.0066637024,1.0,1.0,1.0,1.0,-0.00077529997,-0.0015641414,0.0007888414,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,4,3146,0.053314634,0.04607327,697,0.0072413646,1.0,1.0,1.0,1.0,0.0021059923,-0.0019112974,0.0040172897,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,5,3157,0.050834697,0.055637985,778,-0.0048032887,4.0,0.5555555555555556,1.7777777777777777,1.0,-0.0045878515,-0.004803188,0.00021533668,0.0,0.11111111111111116,0,0
7,cycle44_subj07_margin_low_1sess_150ep,6,3164,0.044615127,0.057661556,655,-0.013046429,5.0,0.5,1.875,1.5,-0.012100443,-9.005517e-05,-0.012010388,3.0,-0.375,0,0
7,cycle44_subj07_margin_low_1sess_150ep,7,3171,0.045919277,0.05707575,567,-0.011156473,11.0,0.0,3.125,3.0,-0.0028879829,0.000191506,-0.0030794889,5.0,-0.25,0,0
7,cycle44_subj07_margin_low_1sess_150ep,8,3181,0.05183128,0.04703415,859,0.004797127,1.0,1.0,1.0,1.0,0.00085034594,-0.0041249506,0.0049752966,-1.0,0.25,0,1
7,cycle44_subj07_margin_low_1sess_150ep,9,3386,0.05650473,0.05978185,11,-0.0032771192,3.0,1.0,1.0,1.0,-0.0010965466,-0.0013383627,0.00024181604,1.0,0.4,0,0
7,cycle44_subj07_margin_low_1sess_150ep,10,3434,0.045883,0.05198262,215,-0.006099619,5.0,0.25,2.0833333333333335,2.0,-0.0031452626,-0.0014074259,-0.0017378367,-2.0,0.08333333333333334,0,0
