subject,impostor_index,count,rank1_to_not1,not1_to_rank1,rank1_kept,not1_kept,target_indices
5,590,16,3,0,5,8,28;74;245;297;310;312;330;419;496;552;573;610;611;665;688;922
5,680,15,2,2,1,10,26;124;194;317;472;500;563;596;624;802;810;840;911;942;968
5,828,13,2,0,3,8,4;15;60;199;212;230;511;692;826;842;926;996;999
5,426,9,2,0,5,2,11;148;378;479;526;539;649;787;903
5,551,5,2,0,0,3,236;455;592;872;957
5,493,22,1,3,7,11,3;18;24;39;130;168;302;374;385;426;483;686;704;707;709;720;735;766;895;950;972;983
5,827,17,1,0,3,13,58;67;137;214;249;293;393;489;568;660;690;702;738;779;894;902;963
5,48,15,1,0,1,13,92;216;286;407;488;494;502;605;725;727;741;759;808;890;976
5,468,12,1,0,4,7,50;155;191;320;347;589;612;714;776;823;893;937
5,191,11,1,0,3,7,35;75;169;301;349;480;503;516;622;654;817
5,208,11,1,0,4,6,52;101;172;221;341;464;617;697;852;871;883
5,246,11,1,0,4,6,48;57;109;215;315;400;736;747;814;932;987
5,793,11,1,1,4,5,22;55;91;110;142;281;338;449;549;554;997
5,78,9,1,2,3,3,61;160;351;508;788;796;856;925;953
5,250,9,1,0,7,1,187;403;409;484;497;499;510;849;985
5,814,9,1,0,2,6,27;181;234;263;538;666;767;892;900
5,765,8,1,0,5,2,254;361;408;527;556;582;756;838
5,384,7,1,0,1,5,85;96;180;862;905;909;989
5,714,7,1,0,4,2,186;458;504;585;637;948;959
5,934,7,1,0,2,4,76;404;558;603;721;734;916
5,522,6,1,0,1,4,143;332;436;813;820;947
5,175,5,1,0,1,3,10;150;200;367;982
5,195,4,1,1,0,2,0;218;299;561
5,480,4,1,0,1,2,410;662;836;940
5,630,4,1,0,2,1,152;300;658;906
5,885,4,1,0,1,2,47;68;111;514
5,141,3,1,0,2,0,560;601;951
5,300,3,1,0,1,1,77;656;762
5,331,3,1,0,0,2,9;295;971
5,445,3,1,0,0,2,687;915;941
5,460,3,1,0,0,2,71;710;869
5,731,3,1,0,2,0,501;681;934
5,906,3,1,0,1,1,6;639;889
5,925,3,1,0,0,2,123;696;790
5,57,2,1,0,1,0,537;564
5,540,2,1,0,0,1,87;739
5,588,2,1,0,0,1,664;786
5,784,2,1,0,0,1,205;231
5,856,2,1,0,1,0,857;954
5,865,2,1,0,0,1,521;913
5,903,2,1,0,0,1,17;753
5,60,1,1,0,0,0,860
5,265,1,1,0,0,0,433
5,343,1,1,0,0,0,469
5,538,1,1,0,0,0,418
5,688,1,1,0,0,0,693
5,227,15,0,0,4,11,103;116;121;141;170;235;287;364;375;417;505;524;650;708;730
5,403,15,0,1,4,10,98;198;222;265;278;306;337;512;632;655;764;775;839;975;994
5,777,13,0,2,2,9,16;228;271;276;280;357;413;432;498;584;744;781;875
5,162,12,0,0,4,8,7;49;59;86;266;360;366;440;462;606;668;845
5,163,12,0,0,5,7,118;128;257;339;424;427;572;574;588;797;891;956
5,118,10,0,0,2,8,51;133;163;207;459;834;847;882;966;980
5,523,9,0,0,2,7,284;431;468;625;675;811;927;958;991
5,674,9,0,0,2,7,8;41;346;362;475;485;581;638;870
5,794,9,0,3,2,4,161;177;253;279;388;471;629;647;716
5,159,8,0,0,5,3,147;149;334;373;578;616;777;859
5,652,8,0,1,2,5,12;237;240;368;465;535;587;641
5,743,8,0,1,1,6,223;277;529;542;678;785;887;967
5,778,8,0,0,3,5,5;119;125;241;372;645;701;715
5,5,7,0,0,1,6,73;229;273;579;599;778;858
5,19,7,0,1,2,4,322;428;457;728;752;757;970
5,36,7,0,0,1,6,144;193;304;313;398;791;873
5,64,7,0,1,3,3,23;248;493;731;877;921;964
5,142,7,0,0,1,6,107;136;244;255;275;780;920
5,316,7,0,0,4,3,13;474;477;481;653;743;844
5,375,7,0,1,4,2,106;391;525;600;713;763;899
5,417,7,0,0,5,2,78;102;190;252;274;324;718
5,715,7,0,0,1,6,63;140;247;423;517;733;750
5,876,7,0,2,1,4,1;38;195;233;608;651;917
5,43,6,0,0,2,4,54;204;394;618;761;881
5,125,6,0,0,4,2,95;327;358;490;830;851
5,172,6,0,0,2,4,33;157;289;648;783;798
5,306,6,0,0,2,4,189;335;515;652;782;880
5,322,6,0,0,3,3,420;487;520;819;938;990
5,471,6,0,0,4,2,256;412;466;532;636;794
5,524,6,0,0,2,4,259;294;377;621;634;806
5,699,6,0,0,2,4,97;178;182;184;439;724
5,2,5,0,0,2,3,113;328;626;749;865
5,21,5,0,0,1,4,292;816;822;931;986
5,61,5,0,0,0,5,99;164;397;640;657
5,70,5,0,0,2,3,122;392;414;541;553
5,182,5,0,0,1,4,105;225;429;446;923
5,341,5,0,0,3,2,132;344;547;571;614
5,414,5,0,0,0,5,269;451;667;703;824
5,964,5,0,0,2,3,203;270;343;452;557
5,11,4,0,1,1,2,2;154;329;594
5,127,4,0,0,1,3,298;827;855;863
5,188,4,0,0,1,3,383;416;695;910
