subject,eval_index,image_id,margin0_brainret_rank,margin_low_brainret_rank,margin0_winning_impostor_index,margin_low_winning_impostor_index,rank_transition_class,positive_similarity,hardest_impostor_similarity,positive_minus_hardest_margin,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,image_full_pool_rank_margin0,image_full_pool_rank,delta_image_full_pool_rank,cycle47_stress_image_preserved_or_improved_brain_worse,cycle47_rank1_to_not1,cycle47_not1_to_rank1,teacher_winner_in_target_top1,teacher_winner_in_target_top5,teacher_winner_in_target_top10,teacher_winner_in_target_top50,brain_eval_winner_in_target_top1,brain_eval_winner_in_target_top5,brain_eval_winner_in_target_top10,brain_eval_winner_in_target_top50,teacher_dir_cosine,brain_eval_dir_cosine,enhanced_dir_cosine
7,0,2950,22.0,78.0,24,875,not1_kept,0.027308373,0.04260366,-0.015295288,-0.007312374,-0.001331076,-0.005981298,56.0,27.0,54.0,27.0,False,0,0,False,False,False,False,False,False,False,False,0.013187626,-0.16669439,
7,1,2990,125.0,128.0,921,921,not1_kept,0.024801264,0.043427456,-0.018626193,-0.002411304,-0.00049934164,-0.0019119624,3.0,98.0,98.0,0.0,True,0,0,False,False,False,False,False,False,False,True,0.003095433,-0.098702654,
7,2,3049,4.0,2.0,11,11,not1_kept,0.052057117,0.05430025,-0.0022431314,0.004012786,0.0011923313,0.0028204545,-2.0,20.0,17.0,-3.0,False,0,0,False,False,False,True,False,False,False,True,-0.0057503865,-0.120046146,
7,3,3077,1.0,1.0,11,11,rank1_kept,0.056821413,0.05015771,0.0066637024,-0.00077529997,-0.0015641414,0.0007888414,0.0,1.0,1.0,0.0,False,0,0,False,False,False,True,False,False,False,False,-0.0015900282,-0.026854666,
7,4,3146,1.0,1.0,272,697,rank1_kept,0.053314634,0.04607327,0.0072413646,0.0021059923,-0.0019112974,0.0040172897,0.0,6.0,2.0,-4.0,False,0,0,False,False,False,False,False,False,False,True,-0.006163525,-0.09747914,
7,5,3157,4.0,4.0,778,778,not1_kept,0.050834697,0.055637985,-0.0048032887,-0.0045878515,-0.004803188,0.00021533668,0.0,1.0,2.0,1.0,False,0,0,True,True,True,True,False,False,False,False,-0.0003840176,-0.15429768,
7,6,3164,2.0,5.0,655,655,not1_kept,0.044615127,0.057661556,-0.013046429,-0.012100443,-9.005517e-05,-0.012010388,3.0,1.0,1.0,0.0,True,0,0,False,False,False,False,False,False,False,True,0.021682655,-0.10078849,
7,7,3171,6.0,11.0,522,567,not1_kept,0.045919277,0.05707575,-0.011156473,-0.0028879829,0.000191506,-0.0030794889,5.0,4.0,4.0,0.0,True,0,0,False,False,False,False,False,False,False,False,0.009399608,-0.13403283,
7,8,3181,2.0,1.0,859,859,not1_to_rank1,0.05183128,0.04703415,0.004797127,0.00085034594,-0.0041249506,0.0049752966,-1.0,4.0,1.0,-3.0,False,0,1,False,True,True,True,False,True,True,True,-0.010871145,-0.11584991,
7,9,3386,2.0,3.0,57,11,not1_kept,0.05650473,0.05978185,-0.0032771192,-0.0010965466,-0.0013383627,0.00024181604,1.0,1.0,1.0,0.0,True,0,0,False,False,True,True,False,False,False,False,0.009174859,0.004827235,
7,10,3434,7.0,5.0,982,215,not1_kept,0.045883,0.05198262,-0.006099619,-0.0031452626,-0.0014074259,-0.0017378367,-2.0,1.0,1.0,0.0,False,0,0,False,True,True,True,False,True,True,True,0.008092484,-0.0423548,
7,11,3449,1.0,1.0,647,647,rank1_kept,0.06273952,0.059506655,0.0032328665,0.0026058592,0.003734503,-0.0011286438,0.0,2.0,2.0,0.0,False,0,0,False,False,True,True,False,True,True,True,0.0023507997,-0.047483772,
7,12,3489,1.0,1.0,271,694,rank1_kept,0.059839316,0.054201204,0.0056381114,-0.0026130117,0.0017748512,-0.004387863,0.0,1.0,1.0,0.0,False,0,0,False,False,False,False,False,True,True,True,0.012162141,-0.0607694,
